name       , patterns
"Youtube"  , "YOUTUBE" 
"WhatsApp" , "WHATSAPP" 
"Instagram", "INSTAGRAM" 
"Snapchat" , "SNAPCHAT" 
"TikTok"   , "(TIKTOK|TIK\sTOK|TIKOK)" 
           
